#nrNodes nrCollisions nrTransmissions OverallEnergy SentTimes RatioPacketSent
10 75 94 0.153142395556 25.8318069725 79.7872340426
20 173 191 0.399562317018 15.5858230057 90.5759162304
30 256 265 0.540810593583 28.335886076 96.6037735849
40 357 363 0.771046625046 29.5135761051 98.347107438
50 447 460 1.07355926489 30.6378381996 97.1739130435
60 526 538 1.34040995494 20.4915091457 97.7695167286
70 597 604 1.55720854756 22.0156499805 98.8410596026
80 724 729 1.81428434118 34.302067831 99.3141289438
90 792 819 2.28237547289 24.0711080494 96.7032967033
100 946 982 2.85711949082 25.0938250484 96.33401222
110 951 982 3.15199832621 28.0352160397 96.8431771894
120 1059 1076 3.43982339351 28.269002861 98.4200743494
130 1191 1213 3.96310394438 41.0953071861 98.1863149217
140 1251 1287 4.37745687197 30.1404609146 97.2027972028
150 1331 1367 5.09355240746 33.7794598999 97.3664959766
160 1389 1405 5.19904378966 33.0873050156 98.8612099644
170 1554 1596 6.08137837544 35.0104491177 97.3684210526
180 1664 1696 6.22595777287 46.6626120358 98.1132075472
190 1705 1758 7.51102068881 49.5108109264 96.9852104664
200 1796 1843 7.74631538851 38.0097591343 97.4498100922
220 2050 2089 9.32167916035 53.3366921692 98.1330780278
240 2217 2255 10.6613565413 43.7029671135 98.3148558758
260 2481 2536 13.0148749158 59.474088028 97.8312302839
280 2584 2635 14.1308854525 61.8151071815 98.064516129
300 2722 2775 15.7305609417 53.1727489891 98.0900900901
320 2945 3014 17.8824244666 67.2753229885 97.7106834771
340 3139 3194 20.4867694606 72.1044460087 98.2780212899
360 3333 3397 21.93344414 61.038354105 98.1159846924
380 3518 3584 24.5133777439 65.2907709541 98.1584821429
400 3675 3776 26.8195476086 67.6478540363 97.3252118644
420 3935 4018 29.7757111364 70.2187249126 97.9342956695
440 4037 4107 30.5497197137 71.3926250401 98.2955928902
460 4166 4251 33.6488226228 75.6810190144 98.0004704775
480 4424 4519 48.5948970659 104.917370981 97.8977649923
500 4519 4606 44.4445244497 104.53011091 98.1111593574
