#nrNodes nrCollisions nrTransmissions OverallEnergy SentTimes RatioPacketSent
10 58 84 0.166692466803 14.3748180332 69.0476190476
20 179 192 0.398942152196 27.5593019276 93.2291666667
30 227 257 0.491768030806 17.8045398655 88.326848249
40 393 400 0.816442400756 19.3197590771 98.25
50 468 478 1.12073317319 20.6051198902 97.9079497908
60 564 582 1.37980169614 21.9480180206 96.9072164948
70 667 680 1.79967742313 35.2085109501 98.0882352941
80 746 766 2.09730956273 36.2320869713 97.3890339426
90 813 848 2.44662909963 37.8219331055 95.8726415094
100 914 934 2.89936100594 39.639303997 97.8586723769
110 980 1015 3.31593165052 29.8100139561 96.5517241379
120 1103 1119 3.9903976745 30.645057148 98.5701519214
130 1161 1195 4.25137406627 32.3513259354 97.1548117155
140 1339 1369 5.24696752887 45.5864730625 97.8086194302
150 1405 1445 5.54667326337 47.2695837765 97.23183391
160 1425 1450 5.69429809314 37.116992897 98.275862069
170 1544 1575 6.65327844212 38.8718690338 98.0317460317
180 1562 1591 6.9393179605 52.7961180954 98.1772470145
190 1700 1725 7.98510308276 41.9476291599 98.5507246377
200 1837 1869 8.99858997322 44.2311019363 98.2878544676
210 1896 1932 9.32823964974 46.5094780388 98.1366459627
220 2105 2144 10.8102677179 58.8780649452 98.1809701493
240 2240 2296 12.325681614 50.8819460335 97.5609756098
260 2363 2416 14.4787317412 67.9423270969 97.8062913907
280 2548 2596 15.502434579 56.8494619789 98.1510015408
300 2731 2787 17.4243490433 70.9072039871 97.9906709724
320 2924 2982 20.0244658242 64.2490469875 98.0549966465
340 3183 3233 23.1887094144 68.2545709076 98.4534488092
360 3313 3376 24.6630350939 83.0091870575 98.1338862559
380 3482 3555 27.3204995888 73.6609489384 97.9465541491
400 3562 3639 30.0369551683 80.5628210964 97.8840340753
420 3723 3789 32.5832191939 82.869509882 98.2581155978
440 4016 4094 35.7542005412 85.7789279881 98.0947728383
460 4170 4239 39.5114601146 102.301160887 98.3722576079
480 4409 4489 43.8310748583 94.8605389061 98.2178658944
500 4612 4712 47.1353349817 108.970324114 97.8777589134
